race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,7,Angara tcds,11,Paul Perry,Adam Farragher,57.5kg,SCR,true
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,1,Desi Emperor sh,6,Tommy Wong,Jeff Penza,61.5kg,$41,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,2,Bode Akuna ds(D/A),1,Jason Coyle,Jessica Taylor,60kg,$17,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,3,Spartus s,8,Fabio Martino,Siena Grima (a-2),60kg,$10,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,4,Welcome Gypsy tcdh,5,John Thompson,Chad Schofield,60kg,$5.5,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,5,Whil To Win,10,John Thompson,Rory Hutchings,58.5kg,$17,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,6,Smiling Prophet tdsh,4,Mark Minervini,Mollie Fitzgerald (a-1.5),58kg,$17,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,7,Sunday Tycoon tds,9,Clarry Conners,Deanne Panya,57.5kg,$9,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,8,Like A Surgeon,3,Brad Widdup,Rachel King,56.5kg,$3.3,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,9,Cool Blaze ds,2,Gary Portelli,Anna Roper,56kg,$9.5,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,10,Altercation dhb,12,Jason Deamer,Tim Clark,55.5kg,$9.5,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,12,Triple Yes d,7,Edward Cummings,Jay Ford,55kg,$8,false
6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,11,Waveton d(HT),11,,Sara Ryan,55.5kg,SCR,true
