race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",10,Hidden Star,Hidden Star,Hidden Star,19,Mark Minervini,Mollie Fitzgerald (a-1.5),56.5kg,$3.75,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",11,Sacred Well,Sacred Well,Sacred Well,12,Kris Lees,Tom Sherry,56.5kg,$11,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",12,Another Mission,Another Mission,Another Mission,6,Peter Green,Keagan Latham (a0.5),55.5kg,$19,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",14,Populism,Populism,Populism,11,Kim Waugh,Ashley Morgan,55kg,$11,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",18,Kuwait,Kuwait,Kuwait,7,Daniel Robinson,Jay Ford,55kg,$51,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",19,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,5,,(a-1.5),55kg,$13,false
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,Funshow,Funshow,Funshow,15,Nathan Doyle,Shannen Llewellyn (a-2),60.5kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",2,Encryptix,Encryptix,Encryptix,9,,Gregory McFarlane,59.5kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",4,Fitzclarence,Fitzclarence,Fitzclarence,13,Jason Attard,Rory Hutchings,58.5kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",6,Oh My Oh My,Oh My Oh My,Oh My Oh My,3,Kris Lees,Chad Schofield,57kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",13,Honeyhill,Honeyhill,Honeyhill,16,,Kristen Buchanan,55kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",15,Acquaro,Acquaro,Acquaro,4,,Fabio Martino,56kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",16,Zsa Zsa,Zsa Zsa,Zsa Zsa,10,,Sara Ryan,55kg,SCR,true
4,2:25 pm A-plus Contracting & Poly Welding Provincial Maiden Handicap,2:25 pm,1300m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",17,What A Gent,What A Gent,What A Gent,17,,Tracey Bartley,55kg,SCR,true
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,I've Bean Tryin',I've Bean Tryin',I've Bean Tryin',17,Matthew Kelley,Coriah Keatings (a-3),64.5kg,$19,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",4,Jacob's Ladder,Jacob's Ladder,Jacob's Ladder,11,John Thompson,Kerrin McEvoy,61kg,$9,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",6,Rosa Incanta,Rosa Incanta,Rosa Incanta,1,Gai Waterhouse & Adrian Bott,Dylan Gibbons,59kg,$7,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",7,Inception,Inception,Inception,10,Nathan Doyle,Tom Sherry,58kg,$19,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",8,Maquisa,Maquisa,Maquisa,12,Chris Waller,Lee Magorrian,58kg,$9,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",9,Miss Capitale,Miss Capitale,Miss Capitale,13,Matthew Smith,Ashley Morgan,57.5kg,$7,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",10,Ocean Tsunami,Ocean Tsunami,Ocean Tsunami,15,Scott Singleton Leeshelle,Small A3 (a-3),57kg,$8,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",11,Ready And Lucky,Ready And Lucky,Ready And Lucky,7,Lou Mary,Christian Reith,57kg,$13,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",12,Rach,Rach,Rach,4,Chris Waller,Zac Lloyd,56.5kg,$5,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",14,Just Like Tilda,Just Like Tilda,Just Like Tilda,8,Bruce Cross,Andrew Calder,55kg,$51,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",16,Turning Circle,Turning Circle,Turning Circle,9,Nathan Doyle,Jay Ford,55kg,$31,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",17,Dreymon d 14 Alan D Smith William Stanley A1.,Dreymon d 14 Alan D Smith William Stanley A1.,Dreymon d 14 Alan D Smith William Stanley A1.,5,,(a-1.5),55kg,$51,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",18,Sister Daae,Sister Daae,Sister Daae,2,Chris Waller,Rory Hutchings,59.5kg,$5.5,false
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",2,Elle Hudson,Elle Hudson,Elle Hudson,6,Joseph Pride,Chad Schofield,61.5kg,SCR,true
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",3,Barbray,Barbray,Barbray,16,Chris Waller Siena,Grima A2 (a-2),61kg,SCR,true
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",5,I Am Adonis,I Am Adonis,I Am Adonis,3,"Michael, John & Wayne Hawkes",Tyler Schiller,60.5kg,SCR,true
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",13,The Cristal,The Cristal,The Cristal,18,Annabel & Rob Archibald,Mollie Fitzgerald (a-1.5),56.5kg,SCR,true
5,3:05 pm Sharp Office Benchmark 64 Handicap,3:05 pm,1400m,Newcastle,BM64,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",15,Sunday Punch,Sunday Punch,Sunday Punch,5,,Cheryl Grouse,55kg,SCR,true
6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,3:40 pm,1600m,Newcastle,BM68,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,5,,(a-1.5),63kg,$19,false
