race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R5,Kembla Grange,5,3:10 pm Wests Illawarra Maiden Handicap,1500m,Maiden,Heavy 8,True,19,19,G'day Ausbred,G'day Ausbred,G'day Ausbred,20,Blake Ryan,Tyler Schiller,$34,4.9
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,1,1,Autumn Blonde,Autumn Blonde,Autumn Blonde,11,Mitchell Beer & George Carpenter,Dylan Gibbons,$3.1,4.6
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,3,3,Brannum,Brannum,Brannum,5,Theresa Bateup,Tyler Schiller,$7,3
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,4,4,Thunder Lights,Thunder Lights,Thunder Lights,15,,Kristen Buchanan,$8,5.9
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,5,5,Dunwithya,Dunwithya,Dunwithya,16,Mitchell Beer & George Carpenter,Adam Farragher,$10,3.1
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,6,6,Felis Chaus,Felis Chaus,Felis Chaus,9,Richard Litt,Tom Sherry,$3.6,5.8
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,8,8,Tod,Tod,Tod,10,Mitchell Beer & George Carpenter,Grant Buckley,$27,3.5
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,12,12,Aranese,Aranese,Aranese,6,Amanda Turner,Olivia Chambers (a-2),$12,3.9
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,13,13,Lantau Island,Lantau Island,Lantau Island,2,Theresa Bateup,Brock Ryan,$15,6.4
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,14,14,Starlight Nation,Starlight Nation,Starlight Nation,14,Amanda Turner,Winona Costin,$19,5.9
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,15,15,Via Varallo,Via Varallo,Via Varallo,12,Amanda Turner,Amy McLucas,$23,3.4
R6,Kembla Grange,6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1500m,Class 1,Heavy 8,True,16,16,Billy Bowlegg,Billy Bowlegg,Billy Bowlegg,8,Paul Niceforo,Jeff Penza,$61,6.3
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,1,1,Presides,Presides,Presides,4,Mitchell Beer & George Carpenter,Coriah Keatings (a-3),$4,5.4
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,2,2,Matima,Matima,Matima,10,Gary Portelli,Tyler Schiller,$11,5.1
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,3,3,Heuristic,Heuristic,Heuristic,5,Bjorn Baker,Dylan Gibbons,$4.4,5.5
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,8,8,Easiest Choice,Easiest Choice,Easiest Choice,14,David Pfieffer,Jay Ford,$3.7,2.5
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,14,14,Otono,Otono,Otono,1,Matthew Dale,Louise Day,$16,6.7
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,18,18,Olington Lane,Olington Lane,Olington Lane,7,Lauren Davies,Keagan Latham,$6,8
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,19,19,Our Vinny,Our Vinny,Our Vinny,8,Diane Poidevin Laine,Pierre Boudvillain,$18,4
R7,Kembla Grange,7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1300m,BM64,Heavy 8,True,20,20,Purple Rose,Purple Rose,Purple Rose,2,John Thompson,Alysha Collett,$11,2
