race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,10,Excuseme Mrofficer,Excuseme Mrofficer,Excuseme Mrofficer,1,Ross McConville,Robyn Freeman,55.5kg,$41,false
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,8,De Joker,De Joker,De Joker,7,Angus Stewart,Pierre Boudvillain,56.5kg,,true
5,2:35 pm Black Aly Window Tinting Class 1 Handicap,2:35 pm,1300m,Kembla Grange,Class 1,,,9,Royaltown,Royaltown,Royaltown,9,Luke Pepper,Pierre Boudvillain,56.5kg,,true
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,1,Aethelwulf,Aethelwulf,Aethelwulf,9,Matthew Smith,Zac Lloyd,60kg,$1.7,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,3,Yachiyo,Yachiyo,Yachiyo,2,Mick Price & Michael Kent Jnr,Andrew Adkins,59kg,$8,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,4,Call Me Mojo,Call Me Mojo,Call Me Mojo,4,David Pfieffer,Tommy Berry,58.5kg,$6.5,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,7,Fierceness,Fierceness,Fierceness,6,Matthew Smith,Grant Buckley,57.5kg,$20,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,8,Arizona Loner,Arizona Loner,Arizona Loner,11,John Thompson,Chad Schofield,56.5kg,$8,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,9,Where's My Halo,Where's My Halo,Where's My Halo,7,Ron Quinton,Mitchell Bell,56.5kg,$10,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,10,Simply Nutbush,Simply Nutbush,Simply Nutbush,1,Jarrod Austin,Reece Jones,56kg,$26,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,11,Rita's Pearl,Rita's Pearl,Rita's Pearl,3,Paul & Martha Cave,Molly Bourke,55kg,$101,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,12,Aranese,Aranese,Aranese,13,Amanda Turner,Olivia Chambers (a-2),55kg,$51,false
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,2,Cheval De Bois,Cheval De Bois,Cheval De Bois,5,Annabel & Rob Archibald,Braith Nock,59.5kg,,true
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,5,Dynast King,Dynast King,Dynast King,8,Matthew Vella,Dylan Gibbons,58kg,,true
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,6,Feazabeel,Feazabeel,Feazabeel,10,Annabel & Rob Archibald,Dylan Gibbons,57.5kg,,true
6,3:10 pm Site Drop Class 1 Handicap,3:10 pm,1600m,Kembla Grange,Class 1,,,13,Tod,Tod,Tod,12,Mitchell Beer & George Carpenter,,55kg,,true
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,1,Century Song,Century Song,Century Song,5,Robert & Luke Price,Tommy Berry,62kg,$3,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,2,Shalaa Gold,Shalaa Gold,Shalaa Gold,10,Marc & Mitchell Conners,Olivia Chambers (a-2),62kg,$5,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,7,Still Alice,Still Alice,Still Alice,3,Lee & Cherie Curtis,Jeff Penza,59.5kg,$11,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,8,Bode Akuna,Bode Akuna,Bode Akuna,1,Jason Coyle,Jessica Taylor,58.5kg,$16,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,9,Vingt Neuf Noir,Vingt Neuf Noir,Vingt Neuf Noir,2,John Thompson,Chad Schofield,58.5kg,$4.4,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,10,Cani Cancan,Cani Cancan,Cani Cancan,11,Paul Murray,Grant Buckley,55kg,$34,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,11,Kool Kade,Kool Kade,Kool Kade,7,Mitchell Beer & George Carpenter,Dylan Gibbons,55kg,$19,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,12,Written Redemption,Written Redemption,Written Redemption,4,Bryce Heys,Zac Lloyd,55kg,$4.2,false
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,3,Fangela,Fangela,Fangela,9,Keith Dryden & Libby Snowden,Rory Hutchings,61.5kg,,true
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,4,Gambler,Gambler,Gambler,6,Peter Snowden,Rory Hutchings,61kg,,true
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,5,Heuristic,Heuristic,Heuristic,8,Mitchell Beer & George Carpenter,Siena Grima (a-2),61kg,,true
7,3:50 pm Cactus Imaging Benchmark 64 Handicap,3:50 pm,1000m,Kembla Grange,BM64,,,6,Honey Perfume,Honey Perfume,Honey Perfume,12,Matthew Smith,Siena Grima (a-2),60.5kg,,true
