record_id,track,race_number,race_name,track_condition,runner_number,runner_name,barrier,jockey,trainer,w_ir,source_file,source_file_modified_at,imported_at,created_at,updated_at,last_source_file,last_source_category,race_id,grade,no,horse_name,name,source
rid_03d9825eed440efc,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,10,Powerful Majik,11,Ellen Hennessy,Diane Poidevin Laine,3.3,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,10,Powerful Majik,Powerful Majik,racenet
rid_8bfc5ae7c6ec75d7,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,11,Quadria,5,Grant Buckley,Paul & Martha Cave,2.5,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,11,Quadria,Quadria,racenet
rid_e9617b843d21730e,Kembla Grange,2,12:40 pm Collappor8 Accounting Maiden Handicap,Good,12,Yana,9,Molly Bourke,John Sargent,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R2,Maiden,12,Yana,Yana,racenet
rid_6afdb4200ef27f07,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,1,Blazing Statement,6,Grant Buckley,Nikki Hodgson,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,1,Blazing Statement,Blazing Statement,racenet
rid_cec1cadbb0147cad,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,2,Clanwilliam,1,Chad Schofield,David Payne,5.5,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,2,Clanwilliam,Clanwilliam,racenet
rid_8eb700220df9e8c4,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,3,Copartner Pegasus,5,Keagan Latham,Stephen O'Halloran,3.2,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,3,Copartner Pegasus,Copartner Pegasus,racenet
rid_c991cba4e0dda2f4,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,4,Courting Emily,8,Zac Lloyd,Matthew Smith,5.9,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,4,Courting Emily,Courting Emily,racenet
rid_917dc738bc069d18,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,5,Equinox Legend,3,Andrew Adkins,Les Bridge,7.9,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,5,Equinox Legend,Equinox Legend,racenet
rid_ab9c580480b92983,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,6,Heeza Steve,10,,Mitchell & Desiree Kearney,,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,6,Heeza Steve,Heeza Steve,racenet
rid_8ca196570c202d6c,Kembla Grange,3,1:15 pm Mmj Wollongong Super Maiden Plate,Good,7,Leon Ruben,11,Ellen Hennessy,Diane Poidevin Laine,7.4,kembla_grange_2026-07-16_master.csv,2026-07-15T23:55:53.120091+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,2026-07-15T23:56:26.580188+00:00,kembla_grange_2026-07-16_master.csv,generic,R3,Maiden,7,Leon Ruben,Leon Ruben,racenet
