race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,3,Let's Fly ho,12,Richard & Will Freedman,Chad Schofield,60.5kg,$23,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,4,Thames ds,11,Gary Portelli,Zac Lloyd,60kg,$6.5,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,5,Cavity Bay d,4,Clarry Conners,Rachel King,59.5kg,$21,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,6,Invisible Magic ts,8,Ciaron Maher,Siena Grima (a-3),57.5kg,$14,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,7,Fleeting Spirit tcd,5,Gerald Ryan & Sterling Alexiou,Kerrin McEvoy,57kg,$4.2,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,8,Mrs Maree db,10,Clarry Conners,Nash Rawiller (a1),57kg,$5,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,9,Seastraand dso,13,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),56.5kg,$15,false
7,3:45 pm Kia Eastern Region Dealer Of The Year Handicap,1250m,10,My Proclama ds,2,Joseph Pride,Andrew Adkins,54.5kg,$21,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,1,Cellarmaster ds,2,Tom Charlton,Zac Lloyd,61.5kg,$6,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,2,Hurstville Zagreb h,12,Tom Charlton,Anna Roper (a-2),60.5kg,$12,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,3,Modown dso,15,Charlotte Littlefield,Braith Nock (a-1.5),60.5kg,$16,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,4,Pier Pressure ds,7,Kris Lees,William Stanley (a-3),60.5kg,$31,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,5,Emirate sh,9,Chris Waller,Sam Clipperton,59.5kg,$14,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,6,Nana's Wish tdsh,5,Ciaron Maher,Mollie Fitzgerald (a-3),59.5kg,$15,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,7,Theblade tds,3,"Michael, John & Wayne Hawkes",Tyler Schiller,59.5kg,$4.4,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,8,Crossbow tcds,6,Chris Waller,James McDonald,58.5kg,$5.5,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,9,Unique Ambition ds,4,John Sargent,Nash Rawiller,58.5kg,$6.5,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,10,Valorous Power,8,Kris Lees,Jason Collett,58kg,$35,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,12,Island Dream dsh,16,Chris Waller,Tommy Berry,56.5kg,$19,false
8,4:20 pm Kia National Dealer Of The Year Handicap,1400m,11,Girijaala ts,10,"Michael, John &",Wayne Hawkes,56.5kg,SCR,true
