race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,7,Last Druid,Last Druid,Last Druid,1,Tracey Bartley,Alysha Collett,55.5kg,$7.5,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,8,Clifton Springs,Clifton Springs,Clifton Springs,10,Marc & Mitchell Conners,Andrew Calder,55kg,$12,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,9,Midnight Dream,Midnight Dream,Midnight Dream,4,Paul Clisby,Siena Grima (a-2),55kg,$29,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,10,Surf Sonic,Surf Sonic,Surf Sonic,8,Karen Outtrim,Louis Beuzelin,55kg,$151,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,11,Johnny Smash ho,Johnny Smash ho,Johnny Smash ho,11,Mike Van Gestel,Reece Jones,55kg,$151,false
6,4:05 pm Hudson Trade Centre Mitre 10 Cg&e Benchmark 64 Handicap,1100m,2,Leave No Doubt,Leave No Doubt,Leave No Doubt,5,Garry Frazer,Jay Ford,61kg,SCR,true
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,1,Flats,Flats,Flats,11,Wendy Haynes,Robyn Freeman,59kg,$61,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,3,My Greek God,My Greek God,My Greek God,1,Matthew Smith,Winona Costin,59kg,$23,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,4,The Big Blue,The Big Blue,The Big Blue,8,Tom Charlton,Zac Lloyd,59kg,$2.6,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,5,The Iron Star,The Iron Star,The Iron Star,9,Marc Chevalier,Tyler Schiller,59kg,$12,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,6,Sox,Sox,Sox,3,Tommy Wong,Louis Beuzelin,57.5kg,$19,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,7,Valentiago,Valentiago,Valentiago,6,Peter Snowden,Zac Wadick,57.5kg,$6.5,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,8,Don't Tell Polly,Don't Tell Polly,Don't Tell Polly,7,Brad Widdup,Rachel King,55.5kg,$13,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,11,Aleutian,Aleutian,Aleutian,4,Brad Widdup,Leeshelle Small (a-3),55kg,$101,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,12,Jade Sunset,Jade Sunset,Jade Sunset,5,Tracey Bartley,Alysha Collett,55kg,$6.5,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,13,Made In Italy,Made In Italy,Made In Italy,2,Matthew Smith,Kerrin McEvoy,55kg,$3.3,false
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,2,Lots To Love,Lots To Love,Lots To Love,10,Annabel & Rob Archibald,Mollie Fitzgerald (a-1.5),59kg,SCR,true
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,9,La Morra,La Morra,La Morra,12,John Thompson,Chad Schofield,55.5kg,SCR,true
7,4:40 pm 3finance Class 1 & Maiden Plate,1800m,10,Lupa Capitolina,Lupa Capitolina,Lupa Capitolina,13,Joseph Pride,Sam Clipperton,55.5kg,SCR,true
