race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,5,Reckless Behaviour,Reckless Behaviour,Reckless Behaviour,8,Matthew Dale,Brodie Loy,60kg,$3.5,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,6,Jalmari,Jalmari,Jalmari,3,Greg Backhouse,Amy McLucas,59kg,$6,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,7,Ken'ker,Ken'ker,Ken'ker,10,Dale Wagstaff,Jordan Quince (a-2),58.5kg,$19,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,8,Think I'm Irish,Think I'm Irish,Think I'm Irish,7,Dale Wagstaff,Adam Farragher,56.5kg,$12,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,9,Via Varallo,Via Varallo,Via Varallo,2,Amanda Turner,Olivia Chambers,56kg,$6.5,false
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,3,Felis Chaus,Felis Chaus,Felis Chaus,1,Richard Litt,Alysha Collett,61kg,SCR,true
5,3:05 pm Shire Law Benchmark 58 Handicap,3:05 pm,1400m,Nowra,BM58,Heavy 8,True,10,Beograd Boy,Beograd Boy,Beograd Boy,5,,John Rolfe,55kg,SCR,true
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,3,Sneaky Pee Cee,Sneaky Pee Cee,Sneaky Pee Cee,1,Danny Williams,Brodie Loy,60kg,$1.45,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,5,Vainstream,Vainstream,Vainstream,11,Todd Smart,Sairyn Fawke,59kg,$6,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,6,Insane Volt,Insane Volt,Insane Volt,4,John Rolfe,Jessica Taylor,57.5kg,$11,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,7,Santolini,Santolini,Santolini,10,Garry Kirkup Rebecca,Bronett Prag,57.5kg,$6.5,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,8,Wrong Footed,Wrong Footed,Wrong Footed,9,Rex Cole,Quayde Krogh,56.5kg,$20,false
6,3:40 pm Affinity Constructions Country Boosted Benchmark 58 Handicap,3:40 pm,1000m,Nowra,BM58,Heavy 8,True,10,Spiritual Mystery,Spiritual Mystery,Spiritual Mystery,7,Darryl Rolfe,Jeff Penza,55kg,$27,false
