assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,notes,total_positive,total_negative,net,updated_at
R6-7,R6,3:20 pm Floratine Products Group Class 1 Handicap,7,Zou Royal,1,Jarrod Austin,Alysha Collett,$8.5,,,,,0,0,0,
R6-8,R6,3:20 pm Floratine Products Group Class 1 Handicap,8,Exothrill,7,Peter Green,Olivia Chambers (a-2),$151,{},"{""BH-"":-1}",{},,0,1,-1,2026-05-21T22:22:38.420Z
R7-2,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,2,Stay Tuned,1,Paul & Martha Cave Rebecca,Bronett Prag (a-3),$8.5,,,,,0,0,0,
R7-3,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,3,Aussie Nation,3,Annabel & Rob Archibald,Mollie Fitzgerald (a-1.5),$3.5,{},"{""BH-"":-1}",{},,0,1,-1,2026-05-21T22:22:51.712Z
R7-4,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,4,Alice Mae,10,Matthew Smith,Jay Ford,$13,,,,,0,0,0,
R7-5,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,5,Scottish Pearl,7,Annabel & Rob Archibald,Ashley Morgan,$18,,,,,0,0,0,
R7-6,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,6,Six Foot Song,6,Jake Hull,Siena Grima (a-2),$10,,,,,0,0,0,
R7-9,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,9,Michelangelo,4,Dean Mirfin,Jacob Stiff (a-3),$4,"{""Healthy+"":2}",{},{},,2,0,2,2026-05-21T22:22:57.514Z
R7-10,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,10,Owen County,5,Richard Litt,Tom Sherry,$6,,,,,0,0,0,
R7-11,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,11,Grandini,9,Rodney Northam,Reece Jones,$6,,,,,0,0,0,
R7-12,R7,3:55 pm Turfcare Aus Benchmark 64 Handicap,12,Devils Daughter,2,Paul & Martha Cave,Andrew Calder,$41,,,,,0,0,0,
R8-6,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,6,Button Up hl,7,Matthew Smith,Ashley Morgan,$7.5,"{""BH+"":1,""Healthy+"":2}",{},{},,3,0,3,2026-05-21T22:23:35.371Z
R8-8,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,8,Whoa Nellie,12,Brad Widdup,Tyler Schiller,$3.7,,,,,0,0,0,
R8-9,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,9,Take Flight,5,David Payne,Olivia Chambers (a-2),$4,,,,,0,0,0,
R8-10,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,10,The Cristal,1,Annabel & Rob Archibald,Mollie Fitzgerald (a-1.5),$3.7,"{""Healthy+"":1}","{""BH-"":-1}",{},,1,1,0,2026-05-21T22:23:44.865Z
R8-11,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,11,Missie Lee,13,Blake Ryan,Jay Ford,$10,,,,,0,0,0,
R8-12,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,12,Ocean Empress,4,Jarrod Austin,Alysha Collett,$8.5,,,,,0,0,0,
R8-13,R8,4:35 pm Elite Sand & Soil Class 1 Handicap,13,Tango On,14,Claire Lever,Winona Costin,$18,,,,,0,0,0,
