race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,probable_weight,hcp_rating,odds,scratched,emergency,source
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,15,VIRGIL’S GIFT,VIRGIL’S GIFT,VIRGIL’S GIFT,10,Gai Waterhouse & Adrian Bott,Regan Bayliss,54kg,,67,,false,true,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,1,CABOCHE (NZ),CABOCHE (NZ),CABOCHE (NZ),0,Chris Waller,William Stanley (a3/54.5kg),60.5kg,57.5kg,91,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,2,BLACK RUN (FR),BLACK RUN (FR),BLACK RUN (FR),1,Annabel & Rob Archibald,Braith Nock (a1.5/53kg),59.5kg,58kg,89,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,3,GO DADDY (IRE),GO DADDY (IRE),GO DADDY (IRE),9,Ciaron Maher,Adam Farragher,56.5kg,,83,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,4,PINHOLE (GB),PINHOLE (GB),PINHOLE (GB),5,Chris Waller,Ms Siena Grima (a2/52kg),55.5kg,53.5kg,81,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,5,SOUNDS UNUSUAL (NZ),SOUNDS UNUSUAL (NZ),SOUNDS UNUSUAL (NZ),6,Chris Waller,Reece Jones,55.5kg,,81,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,6,FERNAO (IRE),FERNAO (IRE),FERNAO (IRE),0,Annabel & Rob Archibald,Ms Alysha Collett,55kg,,80,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,7,FIRM AGREEMENT,FIRM AGREEMENT,FIRM AGREEMENT,0,Annabel & Rob Archibald,Ms Mollie Fitzgerald (a3/52kg),55kg,52kg,80,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,8,CASUAL CONNECTION (NZ),CASUAL CONNECTION (NZ),CASUAL CONNECTION (NZ),4,John Sargent,Ms Anna Roper (a2/53kg),54.5kg,52.5kg,79,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,9,KING PEDRO (NZ),KING PEDRO (NZ),KING PEDRO (NZ),2,Tom Charlton,Kerrin McEvoy,54.5kg,,79,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,10,MASOUN (FR),MASOUN (FR),MASOUN (FR),7,Chris Waller,Regan Bayliss,54.5kg,,79,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,11,BRAVE CALL (IRE),BRAVE CALL (IRE),BRAVE CALL (IRE),3,Kris Lees,Jay Ford,54kg,,78,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,12,BELLE DETELLE,BELLE DETELLE,BELLE DETELLE,8,Chris Waller,Andrew Adkins,52kg,,76,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,13,CENTENARIO (NZ),CENTENARIO (NZ),CENTENARIO (NZ),10,Gai Waterhouse & Adrian Bott,Zac Wadick (a2/53kg),52kg,52kg,73,,false,false,risa
6,1:55PM RANVET STAYERS CUP,1:55PM,2400m,Rosehill Gardens,,Soft 6,+6m Entire,14,SO SUAVE (NZ),SO SUAVE (NZ),SO SUAVE (NZ),11,Chris Waller,Tyler Schiller,52kg,,72,,false,false,risa
7,2:35PM ROSEHILL BOWLING CLUB HANDICAP,2:35PM,1800m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,BOYS NIGHT OUT,BOYS NIGHT OUT,BOYS NIGHT OUT,11,Matthew Dunn,Regan Bayliss (late alt),62kg,,82,,false,false,risa
