race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,10,Aussie Nation,Aussie Nation,Aussie Nation,14,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),56kg,SCR,true
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,14,Canjustify,Canjustify,Canjustify,11,,Richard Litt,54kg,SCR,true
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,16,Owen County,Owen County,Owen County,17,,Richard Litt,54kg,SCR,true
5,3:10 pm Schweppes Handicap,3:10 pm,2110m,Warwick Farm,Handicap,Heavy 8,True,17,King Edward,King Edward,King Edward,6,,Matthew Kelley,54kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,1,Glorious Moments,Glorious Moments,Glorious Moments,14,Jim & Greg Lee,James McDonald,61.5kg,$2.25,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,5,Madrina,Madrina,Madrina,12,Nick Olive,Coriah Keatings (a-3),59.5kg,$9,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,6,Formal,Formal,Formal,5,Nathan Doyle,Shannen Llewellyn (a-3),59kg,$18,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,10,Heuristic,Heuristic,Heuristic,10,Bjorn Baker,Dylan Gibbons,57.5kg,$15,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,13,Confidentiality,Confidentiality,Confidentiality,9,Joseph Pride,Sam Clipperton,57kg,$2.7,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,15,Silencio Porfavor,Silencio Porfavor,Silencio Porfavor,2,Matthew Smith,Zac Lloyd,56kg,$8,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,16,Lady Shenanigans,Lady Shenanigans,Lady Shenanigans,17,Mitchell & Desiree Kearney,Jeff Penza,54kg,$91,false
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,2,Hezdarnhottoo,Hezdarnhottoo,Hezdarnhottoo,4,Bjorn Baker,Joshua Parr,61.5kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,3,Negotiations,Negotiations,Negotiations,3,Ciaron Maher,William Stanley (a-3),61kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,4,Teylu,Teylu,Teylu,8,Gratz Vella,Mollie Fitzgerald (a-3),60kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,7,President,President,President,7,Jason Coyle,Rachel King,58.5kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,8,Useapin,Useapin,Useapin,16,Chris Waller,Tommy Berry,58.5kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,9,Kreon,Kreon,Kreon,1,Danny Williams,Chad Schofield,58kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,11,Tartaglia,Tartaglia,Tartaglia,6,Paul Snowden,Kerrin McEvoy,57.5kg,SCR,true
6,3:45 pm Asahi Super Dry Handicap,3:45 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,12,Zale,Zale,Zale,15,Gary Nickson,Winona Costin,57.5kg,SCR,true
