race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,10,10,He's Godspeed,He's Godspeed,He's Godspeed,8,Brett Lazzarini,Teighan Worsnop,$17,6,racenet
R5,Wyong,5,3:25 pm Spelling At Domeland Cg&e Benchmark 64 Handicap,1350m,BM64,Good 4,True,11,11,Dreymon,Dreymon,Dreymon,10,Alan D Smith,Leeshelle Small (a-3),$46,7.1,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,1,1,Desi Emperor,Desi Emperor,Desi Emperor,6,Tommy Wong,Jeff Penza,$41,2.6,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,2,2,Bode Akuna,Bode Akuna,Bode Akuna,1,Jason Coyle,Jessica Taylor,$17,7,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,3,3,Spartus,Spartus,Spartus,8,Fabio Martino,Siena Grima (a-2),$10,4.9,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,4,4,Welcome Gypsy,Welcome Gypsy,Welcome Gypsy,5,John Thompson,Chad Schofield,$5.5,4.4,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,5,5,Whil To Win,Whil To Win,Whil To Win,10,John Thompson,Rory Hutchings,$17,2.1,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,6,6,Smiling Prophet,Smiling Prophet,Smiling Prophet,4,Mark Minervini,Mollie Fitzgerald (a-1.5),$17,6.1,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,7,7,Sunday Tycoon,Sunday Tycoon,Sunday Tycoon,9,Clarry Conners,Deanne Panya,$9,4.7,racenet
R6,Wyong,6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,1000m,BM64,Good 4,True,8,8,Like A Surgeon,Like A Surgeon,Like A Surgeon,3,Brad Widdup,Rachel King,$3.3,10,racenet
