race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,19,Freedom To Roam,Freedom To Roam,Freedom To Roam,8,,Holly Williams,55kg,$71,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,20,Hoku,Hoku,Hoku,14,,Les Roberts,55kg,$151,false
5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,1100m,8,Ode So Much,Ode So Much,Ode So Much,17,,Simon Casey,57.5kg,SCR,true
6,3:25 pm Newgate Class 2 Handicap,1300m,1,Next Jen,Next Jen,Next Jen,11,Annabel & Rob Archibald,Liberty Smyth (a-2),61.5kg,$10,false
6,3:25 pm Newgate Class 2 Handicap,1300m,2,Golden Loom,Golden Loom,Golden Loom,15,Corey & Kylie Geran,Gary Geran,60kg,$46,false
6,3:25 pm Newgate Class 2 Handicap,1300m,3,Helen's Way,Helen's Way,Helen's Way,9,Bjorn Baker,Regan Bayliss,58kg,$12,false
6,3:25 pm Newgate Class 2 Handicap,1300m,4,Inception,Inception,Inception,17,Nathan Doyle,Ashley Morgan,58kg,$27,false
6,3:25 pm Newgate Class 2 Handicap,1300m,5,Lighthouse Lass,Lighthouse Lass,Lighthouse Lass,2,Richard & Will Freedman,Chad Schofield,57.5kg,$5.5,false
6,3:25 pm Newgate Class 2 Handicap,1300m,6,Seastraand,Seastraand,Seastraand,5,Annabel & Rob Archibald,Braith Nock,57.5kg,$11,false
6,3:25 pm Newgate Class 2 Handicap,1300m,7,Laizabout,Laizabout,Laizabout,19,Wayne Wilkes,Kody Nestor (a0.5),57kg,$26,false
6,3:25 pm Newgate Class 2 Handicap,1300m,8,Pontevedra,Pontevedra,Pontevedra,3,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),57kg,$9.5,false
6,3:25 pm Newgate Class 2 Handicap,1300m,9,Celtic Sin,Celtic Sin,Celtic Sin,18,Tom Charlton,Zac Lloyd,56kg,$16,false
6,3:25 pm Newgate Class 2 Handicap,1300m,10,Smart Buy,Smart Buy,Smart Buy,12,Rodney Northam,Tyler Schiller,56kg,$26,false
6,3:25 pm Newgate Class 2 Handicap,1300m,12,Oakfield Utah,Oakfield Utah,Oakfield Utah,1,Scott Singleton,Mikayla Weir,55.5kg,$8.5,false
6,3:25 pm Newgate Class 2 Handicap,1300m,13,Brutal Elegance,Brutal Elegance,Brutal Elegance,7,Rodney Northam,Leeshelle Small (a-1.5),55kg,$91,false
6,3:25 pm Newgate Class 2 Handicap,1300m,14,Brutal Belle,Brutal Belle,Brutal Belle,4,Luke Pepper,Jason Collett,55kg,$6,false
6,3:25 pm Newgate Class 2 Handicap,1300m,15,Yacht Girl,Yacht Girl,Yacht Girl,16,Scott Singleton,Jay Ford,55kg,$41,false
6,3:25 pm Newgate Class 2 Handicap,1300m,16,Fan Harder,Fan Harder,Fan Harder,14,Rodney Northam,Reece Jones,55kg,$17,false
6,3:25 pm Newgate Class 2 Handicap,1300m,17,Arapawa,Arapawa,Arapawa,8,Brett & Georgie Cavanough,Mitchell Bell,55kg,$11,false
6,3:25 pm Newgate Class 2 Handicap,1300m,18,Mischievous Molly,Mischievous Molly,Mischievous Molly,6,,Wayne Wilkes,55kg,$151,false
6,3:25 pm Newgate Class 2 Handicap,1300m,19,Magurtz,Magurtz,Magurtz,13,Scott Singleton,Christian Reith,55kg,$26,false
6,3:25 pm Newgate Class 2 Handicap,1300m,20,Climate Control,Climate Control,Climate Control,10,,Jeremy Gask,55kg,$151,false
6,3:25 pm Newgate Class 2 Handicap,1300m,11,Call Me Sassy,Call Me Sassy,Call Me Sassy,20,David Pfieffer,Kerrin McEvoy,55.5kg,SCR,true
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,1,Tavi Time,Tavi Time,Tavi Time,7,Kris Lees,Chad Schofield,59kg,$8,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,2,Amor Victorious,Amor Victorious,Amor Victorious,2,Bjorn Baker,Joshua Parr,58.5kg,$9,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,3,Osipenko,Osipenko,Osipenko,6,Chris Waller,Sam Clipperton,58kg,$23,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,5,Waterford,Waterford,Waterford,16,Chris Waller,Zac Lloyd,57kg,$26,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,6,Churchill's Choice,Churchill's Choice,Churchill's Choice,3,Nathan Doyle,Regan Bayliss,56kg,$10,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,7,Depth Of Character,Depth Of Character,Depth Of Character,15,Annabel & Rob Archibald,Jason Collett,56kg,$8.5,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,8,Encap,Encap,Encap,11,Gary Portelli,Rachel King,56kg,$12,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,9,Navajo Peak,Navajo Peak,Navajo Peak,1,Peter Bloomfield,Rory Hutchings,56kg,$126,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,10,Port Lockroy,Port Lockroy,Port Lockroy,4,Annabel & Rob Archibald,Dylan Gibbons,56kg,$21,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,12,Hellsing,Hellsing,Hellsing,9,Annabel & Rob Archibald,Tom Sherry,54.5kg,$7.5,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,13,Palmetto,Palmetto,Palmetto,14,John Sargent,Alysha Collett,54.5kg,$21,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,15,Imperialist,Imperialist,Imperialist,5,Chris Waller,Andrew Adkins,54kg,$16,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,17,Caboche,Caboche,Caboche,10,Chris Waller,Siena Grima,54kg,$81,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,18,Formal Display,Formal Display,Formal Display,20,Annabel & Rob Archibald,Braith Nock,54kg,$4,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,19,Shadizi,Shadizi,Shadizi,8,Chris Waller,Tyler Schiller,54kg,$26,false
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,4,Cristal Clear,Cristal Clear,Cristal Clear,13,Annabel &,Rob Archibald,57.5kg,SCR,true
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,11,Chica Mojito,Chica Mojito,Chica Mojito,18,Chris Waller,Jay Ford,54.5kg,SCR,true
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,14,War Eternal,War Eternal,War Eternal,17,Bjorn Baker,Kerrin McEvoy,54.5kg,SCR,true
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,16,Williamsburg,Williamsburg,Williamsburg,12,Brett & Georgie Cavanough,Mitchell Bell (a1),54kg,SCR,true
7,4:05 pm Arrowfield Big Dance Eligibility Scone Cup,1600m,20,Sun God,Sun God,Sun God,19,Chris Waller,Reece Jones,54kg,SCR,true
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,1,Indifference,Indifference,Indifference,3,Brett & Georgie Cavanough,Alysha Collett,64kg,$41,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,2,Danish Fortune,Danish Fortune,Danish Fortune,18,Joel Wilkes,Gabrielle Johnston (a-2),63kg,$151,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,3,Dances With Hooves,Dances With Hooves,Dances With Hooves,8,Cameron Crockett,Ashley Morgan,61kg,$13,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,4,Hot Bandit,Hot Bandit,Hot Bandit,2,Luke Pepper,Brodie Loy,60.5kg,$31,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,5,Taipan Legend,Taipan Legend,Taipan Legend,19,Cameron Crockett,Mikayla Weir,59kg,$51,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,6,Rajnish,Rajnish,Rajnish,13,Cameron Crockett,Liberty Smyth (a-2),58.5kg,$71,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,7,Hell Of A Fox,Hell Of A Fox,Hell Of A Fox,5,Luke Pepper,Jay Ford,58kg,$17,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,8,Hulu,Hulu,Hulu,20,Cameron Crockett,Aaron Bullock (a0.5),57.5kg,$27,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,9,Kranich,Kranich,Kranich,14,Michael Mulholland,Jacob Stiff (a-2),57kg,$15,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,10,Poisen Point,Poisen Point,Poisen Point,11,Brett Robb,Izzy Neale (a-1.5),56kg,$4.6,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,11,A Pound Of Salt,A Pound Of Salt,A Pound Of Salt,7,Todd Howlett,Zac Lloyd,55.5kg,$27,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,12,New Pharoah,New Pharoah,New Pharoah,17,Brett & Georgie Cavanough,Jason Collett,55.5kg,$12,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,13,Danza In The Dark,Danza In The Dark,Danza In The Dark,10,Stephen Meyer,Rory Hutchings (a1),55kg,$151,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,14,Full Regalia,Full Regalia,Full Regalia,9,Karen Owen,Madeline Owen,55kg,$51,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,15,Shotgun Bella,Shotgun Bella,Shotgun Bella,4,Nathan Doyle,Kerrin McEvoy,55kg,$3.4,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,16,Unreachable,Unreachable,Unreachable,6,Jeremy Sylvester,Dylan Gibbons,55kg,$35,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,17,Solitario,Solitario,Solitario,15,Paul Messara & Leah Gavranich,Tyler Schiller,55kg,$7,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,18,Wanda River,Wanda River,Wanda River,12,,Sue Grills,55kg,$101,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,19,Adolphus,Adolphus,Adolphus,16,Matthew Dale,Braith Nock,55kg,$21,false
8,4:40 pm Vinery Country Cup - Benchmark 84 Handicap,1400m,20,Red Rags To Bulls,Red Rags To Bulls,Red Rags To Bulls,1,,Jeremy Gask,55kg,$14,false
