race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,12,12,Josephine,Josephine,Josephine,2,Todd Howlett,Alysha Collett,$31,5.3
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,13,13,Kakoda,Kakoda,Kakoda,10,Scott Singleton,Tilly McCarroll (a-2),$20,1
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,14,14,Kermitisapet,Kermitisapet,Kermitisapet,11,Tim McIntosh,Daniel Northey (a0.5),$61,8.8
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,15,15,Miss Dee Reign,Miss Dee Reign,Miss Dee Reign,13,Jeremy Sylvester,Rory Hutchings (a0.5),$46,3
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,16,16,Rubelin,Rubelin,Rubelin,20,Brett Robb,Izzy Neale (a-1.5),$11,2.3
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,17,17,Golden Vader,Golden Vader,Golden Vader,12,Liam Ruddy,Adam Farragher,$51,4.8
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,18,18,Cosmic Bling,Cosmic Bling,Cosmic Bling,5,,Sue Grills,$51,7.8
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,19,19,Freedom To Roam,Freedom To Roam,Freedom To Roam,8,,Holly Williams,$71,8.7
R5,2:50 pm Scone Equine Hospital Country Boosted Class 1 Handicap,5,20,20,Hoku,Hoku,Hoku,14,,Les Roberts,$151,8.4
R6,3:25 pm Newgate Class 2 Handicap,6,1,1,Next Jen,Next Jen,Next Jen,11,Annabel & Rob Archibald,Liberty Smyth (a-2),$10,5.3
R6,3:25 pm Newgate Class 2 Handicap,6,2,2,Golden Loom,Golden Loom,Golden Loom,15,Corey & Kylie Geran,Gary Geran,$46,7.5
R6,3:25 pm Newgate Class 2 Handicap,6,3,3,Helen's Way,Helen's Way,Helen's Way,9,Bjorn Baker,Regan Bayliss,$12,3
R6,3:25 pm Newgate Class 2 Handicap,6,4,4,Inception,Inception,Inception,17,Nathan Doyle,Ashley Morgan,$27,3.2
R6,3:25 pm Newgate Class 2 Handicap,6,5,5,Lighthouse Lass,Lighthouse Lass,Lighthouse Lass,2,Richard & Will Freedman,Chad Schofield,$5.5,4.9
