race_id,race_title,race_no,runner_no,no,horse,barrier,trainer,jockey,odds,w_ir
R6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,6,9,9,Cool Blaze ds,2,Gary Portelli,Anna Roper,$9.5,
R6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,6,10,10,Altercation dhb,12,Jason Deamer,Tim Clark,$9.5,
R6,4:05 pm Pcm Catering & Coolroom Hire Midway Benchmark 64 Handicap,6,12,12,Triple Yes d,7,Edward Cummings,Jay Ford,$8,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,1,1,Unavoidable s,8,Matthew Smith,Siena Grima (a-2),$8,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,2,2,Scottish Pearl do,7,Annabel & Rob Archibald,Ashley Morgan,$13,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,3,3,Grandini tcds,3,Rodney Northam,Reece Jones,$4.2,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,4,4,Monty Be Quick ts(HT),9,Wayne Seelin,William Stanley (a-2),$17,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,6,6,Sarapo,6,Chris Waller,Jason Collett,$2.2,6.7
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,8,8,Will To Excel dsb,4,James Ponsonby,Winona Costin,$20,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,9,9,Mellencamp s,5,Allan Boyle,Jenny Duggan,$29,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,10,10,Ring Ahoy s,1,David Hatch,Zac Wadick,$8,
R7,4:40 pm Limitless Lodge Benchmark 64 Handicap,7,11,11,Prince Is Game dsh,2,Matthew Robinson,Anna Roper,$29,
