race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,14,Rock'n On Uptown,Rock'n On Uptown,Rock'n On Uptown,4,Carlos Antonio,Jeff Kehoe,55kg,$126,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,15,Ultimate Reign,Ultimate Reign,Ultimate Reign,16,Annette Lee,Kacie Adams,57kg,$126,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,17,Autafinna,Autafinna,Autafinna,2,Patrick Cleave,Mikayla Weir,56.5kg,$16,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,18,Hardash,Hardash,Hardash,11,Peter Cheers,Peter Graham,59kg,$201,false
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,1,Counterpart ho,Counterpart ho,Counterpart ho,8,Jonathan Smith,Jon Grisedale,59kg,SCR,true
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,2,Jason Darren,Jason Darren,Jason Darren,17,John Bannister Jean,Van Overmeire,59kg,SCR,true
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,4,The Comanche,The Comanche,The Comanche,10,Glen Milligan,Matthew Bennett,59kg,SCR,true
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,7,Moana Gold,Moana Gold,Moana Gold,5,Kristen Buchanan,Mollie Fitzgerald,57kg,SCR,true
4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1:55 pm,1600m,Taree,Maiden,Heavy 10,True,16,Think I'm In,Think I'm In,Think I'm In,7,,John Bannister,55kg,SCR,true
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,2,Strobing,Strobing,Strobing,11,Tony Ball,Shannen Llewellyn,61.5kg,$8,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,3,Final Chapter,Final Chapter,Final Chapter,6,Cassandra Schmidt,Leanne Boyd (a-2),61kg,$23,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,4,Yorikiri,Yorikiri,Yorikiri,7,Paul Perry,Mikayla Weir,60.5kg,$4.4,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,5,Quick Buck,Quick Buck,Quick Buck,9,Grant Jobson,Matthew Bennett,59.5kg,$10,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,7,Nature Boy,Nature Boy,Nature Boy,3,Lea Selby,Izzy Neale (a-1.5),59kg,$7,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,8,Prince Is Game,Prince Is Game,Prince Is Game,2,Matthew Robinson,Anna Roper,59kg,$4,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,9,Maggie Sparkles,Maggie Sparkles,Maggie Sparkles,8,Paul Kelly,Liberty Smyth (a-2),57.5kg,$9,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,11,Argerich ho,Argerich ho,Argerich ho,4,Peter Cheers,Olivia Dalton (a-2),56kg,$17,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,12,Farraige,Farraige,Farraige,12,Dale Wagstaff,Peter Graham (a0.5),55kg,$6,false
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,13,Hardash,Hardash,Hardash,1,Peter Cheers,Jeff Kehoe,55kg,SCR,true
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,1,Zou Big Boy,Zou Big Boy,Zou Big Boy,13,,Lea Selby,63kg,SCR,true
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,6,Dipierdomenico,Dipierdomenico,Dipierdomenico,10,Robert Knight,Grace Palmer (a-3),59kg,SCR,true
5,2:35 pm Gloucester Cup July 9 Benchmark 58 Handicap,2:35 pm,2000m,Taree,BM58,Heavy 10,True,10,Thundering Falcon,Thundering Falcon,Thundering Falcon,5,Robert Knight,Mollie Fitzgerald,57.5kg,SCR,true
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,1,Scotland,Scotland,Scotland,5,Karen Owen,Poppie Gorton (a-3),64kg,$19,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,5,Barcelona Express,Barcelona Express,Barcelona Express,9,David Matts,Aaron Bullock,60.5kg,$3.4,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,6,Mosgiel Daisy,Mosgiel Daisy,Mosgiel Daisy,15,Matthew Robinson,Ben Looker,60kg,$5,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,7,Spartan Steel,Spartan Steel,Spartan Steel,18,Jim Louizos,Matthew Bennett,59kg,$9.5,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,8,Faiza Star,Faiza Star,Faiza Star,17,Darren Treacy,Kacie Adams,58kg,$16,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,9,Miss Dee Reign,Miss Dee Reign,Miss Dee Reign,3,Jeremy Sylvester,Shannen Llewellyn,57.5kg,$4,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,10,Dam Impact,Dam Impact,Dam Impact,4,Grant Jobson,Grant Buckley,57kg,$18,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,11,Whatsthetimemrwolf,Whatsthetimemrwolf,Whatsthetimemrwolf,14,David Matts,Anna Roper,57kg,$18,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,12,Nikody's Binks,Nikody's Binks,Nikody's Binks,8,Peter Cheers,Raymond Spokes,56.5kg,$26,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,13,Discreet Lady,Discreet Lady,Discreet Lady,13,Tom Higgins,Grace Palmer (a-3),56kg,$41,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,14,Rivoli Star,Rivoli Star,Rivoli Star,7,Peter Graham,Peter Graham (a0.5),55kg,$14,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,15,Nikody's Diego,Nikody's Diego,Nikody's Diego,11,Peter Cheers,Stephen Cummins,55kg,$91,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,16,Rebel One,Rebel One,Rebel One,16,Matthew Robinson,Teighan Worsnop,55kg,$101,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,17,Golden Breeze,Golden Breeze,Golden Breeze,10,Margaret De Gonneville,Jeff Kehoe,55kg,$151,false
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,2,Ode So Much,Ode So Much,Ode So Much,6,Simon Casey,Olivia Dalton (a-2),62.5kg,SCR,true
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,3,Sound And Vision,Sound And Vision,Sound And Vision,2,Karen Owen,Grady Spokes (a-2),62.5kg,SCR,true
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,4,The Manager,The Manager,The Manager,12,,Liam Ruddy,62.5kg,SCR,true
6,3:10 pm Xxxx Gold Country Boosted Benchmark 58 Handicap,3:10 pm,1400m,Taree,BM58,Heavy 10,True,18,I'm Super,I'm Super,I'm Super,1,,Paul Kelly,59.5kg,SCR,true
7,3:45 pm Sky International Benchmark 66 Handicap,3:45 pm,1000m,Taree,BM66,Heavy 10,True,2,Debussy,Debussy,Debussy,7,Tony Ball,Aaron Bullock,62kg,$5,false
7,3:45 pm Sky International Benchmark 66 Handicap,3:45 pm,1000m,Taree,BM66,Heavy 10,True,3,Telegraph,Telegraph,Telegraph,17,Tony Ball,Madeline Owen,62kg,$18,false
7,3:45 pm Sky International Benchmark 66 Handicap,3:45 pm,1000m,Taree,BM66,Heavy 10,True,4,Cool Fizz,Cool Fizz,Cool Fizz,5,Brett Dodson,Grady Spokes (a-2),61.5kg,$6,false
