race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,1,1,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,5,,(a-1.5),$19,5.9
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,2,2,Silver Tempest,Silver Tempest,Silver Tempest,10,Annabel & Rob Archibald,Dylan Gibbons,$13,6.1
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,3,3,Deepwater Artist,Deepwater Artist,Deepwater Artist,14,Matthew Kelley,Coriah Keatings (a-3),$6.5,3.5
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,5,5,Piccaderro,Piccaderro,Piccaderro,6,Jason Deamer,Chad Schofield,$11,4.8
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,6,6,Whateley,Whateley,Whateley,8,Todd Howlett,Rory Hutchings,$12,5.9
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,7,7,Christa,Christa,Christa,11,Todd Howlett,Reece Jones,$13,6.9
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,9,9,Stellar Rhonda,Stellar Rhonda,Stellar Rhonda,13,Matthew Smith,Zac Lloyd,$3.2,5.4
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,10,10,Noises,Noises,Noises,16,Scott Singleton Leeshelle,Small A3 (a-3),$34,4.9
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,11,11,Off The Scale,Off The Scale,Off The Scale,2,Lou Mary,Tom Sherry (a0.5),$11,4.9
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,12,12,Tanglewood Jimmy,Tanglewood Jimmy,Tanglewood Jimmy,17,Wayne Wilkes,Kerrin McEvoy,$5.5,8.3
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,13,13,Omaha Sand,Omaha Sand,Omaha Sand,3,Matthew Smith,Andrew Calder,$31,5.6
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,16,16,Zizette,Zizette,Zizette,7,Kylie Gavenlock,Anna Roper,$51,7.5
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,17,17,Thebes,Thebes,Thebes,15,Kylie Gavenlock,Jessica Taylor,$71,7
R6,3:40 pm Hungerford Hill Wine Country Cup Conditional Benchmark 68 Handicap,6,18,18,Outcast Girl,Outcast Girl,Outcast Girl,12,Marc & Mitchell Conners,Mollie Fitzgerald (a-1.5),$81,6.4
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,2,2,Prinzerro,Prinzerro,Prinzerro,15,Ciaron Maher Siena,Grima A2 (a-2),$12,4.1
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,4,4,Chatterley,Chatterley,Chatterley,16,Chris Waller,Kerrin McEvoy,$4.5,5.6
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,6,6,Cosy Corner,Cosy Corner,Cosy Corner,2,Paul Perry,Shannen Llewellyn (a-2),$7,6.2
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,8,8,Twisted Queen,Twisted Queen,Twisted Queen,13,Joseph Pride,Regan Bayliss,$9,4.2
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,10,10,Attractiveness,Attractiveness,Attractiveness,8,Richard & Will Freedman,Chad Schofield,$4,3.6
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,13,13,Smiling Prophet,Smiling Prophet,Smiling Prophet,1,Mark Minervini,Mollie Fitzgerald (a-1.5),$9.5,6.2
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,15,15,Rubology,Rubology,Rubology,6,Darren L Bell,Jay Ford,$26,7.8
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,17,17,Emalyn,Emalyn,Emalyn,9,Nathan Doyle,Andrew Gibbons,$7,3
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,18,18,Ces Soirees La,Ces Soirees La,Ces Soirees La,4,Robert Quinn,Ashley Morgan,$10,7.3
R7,4:20 pm The Prince Of Merewether Benchmark 64 Handicap,7,20,20,Gemologist ho(HT) 10 Mark Minervini William Stanley A1.,Gemologist ho(HT) 10 Mark Minervini William Stanley A1.,Gemologist ho(HT) 10 Mark Minervini William Stanley A1.,5,,(a-1.5),$20,7.7
